,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,can_mun_name,district
1,3201 HAEGGENSCHWIL,787,419,368,760,406,354,27,13,14,966,3.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
2,3202 MUOLEN,847,452,395,823,435,388,24,17,7,972,2.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
3,3203 ST.GALLEN,75847,35440,40407,62840,28223,34617,13007,7217,5790,829,17.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
4,3204 WITTENBACH,7463,3672,3791,6570,3137,3433,893,535,358,880,12.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
6,3211 BERG (SG),648,344,304,605,310,295,43,34,9,934,6.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
7,3212 EGGERSRIET,1741,895,846,1649,841,808,92,54,38,947,5.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
8,3213 GOLDACH,7940,3909,4031,6785,3289,3496,1155,620,535,855,14.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
9,3214 MOERSCHWIL,2060,1100,960,1927,1009,918,133,91,42,935,6.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
10,3215 RORSCHACH,9878,4663,5215,7300,3305,3995,2578,1358,1220,739,26.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
11,3216 RORSCHACHERBERG,5294,2598,2696,4537,2188,2349,757,410,347,857,14.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
12,3217 STEINACH,2513,1269,1244,2126,1034,1092,387,235,152,846,15.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
13,3218 TUEBACH,845,410,435,766,362,404,79,48,31,907,9.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
14,3219 UNTEREGGEN,560,302,258,545,294,251,15,8,7,973,2.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
16,3231 AU (SG),5434,2737,2697,4243,2080,2163,1191,657,534,781,21.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
17,3232 BALGACH,3122,1508,1614,2624,1241,1383,498,267,231,840,16.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
18,3233 BERNECK,2793,1387,1406,2434,1176,1258,359,211,148,871,12.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
19,3234 DIEPOLDSAU,3562,1749,1813,3184,1539,1645,378,210,168,894,10.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
20,3235 RHEINECK,3037,1425,1612,2363,1069,1294,674,356,318,778,22.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
21,3236 ST.MARGRETHEN,4935,2418,2517,3933,1842,2091,1002,576,426,797,20.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
22,3237 THAL,4725,2422,2303,4141,2081,2060,584,341,243,876,12.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
23,3238 WIDNAU,5859,2903,2956,4816,2328,2488,1043,575,468,822,17.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
25,3251 ALTSTAETTEN,9260,4549,4711,8265,3993,4272,995,556,439,893,10.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
26,3252 EICHBERG,719,373,346,692,362,330,27,11,16,962,3.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
27,3253 MARBACH (5G),1382,673,709,1267,607,660,115,66,49,917,8.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
28,3254 OBERRIET (5G),6222,3220,3002,6001,3069,2932,221,151,70,964,3.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
29,3255 REBSTEIN,3127,1536,1591,2600,1246,1354,527,290,237,831,16.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
30,3256 RUETHI (RHEINTAL),1475,764,711,1406,714,692,69,50,19,953,4.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
32,3271 BUCHS (SG),9066,4501,4565,7796,3755,4041,1270,746,524,860,14.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
33,3272 GAMS,2246,1143,1103,2071,1034,1037,175,109,66,922,7.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
34,3273 GRABS,4844,2421,2423,4344,2133,2211,500,288,212,897,10.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
35,3274 SENNWALD,3121,1677,1444,2897,1545,1352,224,132,92,928,7.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
36,3275 SEVELEN,2839,1434,1405,2487,1217,1270,352,217,135,876,12.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
37,3276 WARTAU,3692,1832,1860,3222,1564,1658,470,268,202,873,12.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
39,3291 BAD RAGAZ,3721,1754,1967,3286,1513,1773,435,241,194,883,11.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
40,3292 FLUMS,4228,2163,2065,3854,1945,1909,374,218,156,912,8.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
41,3293 MELS,6235,3154,3081,5724,2863,2861,511,291,220,918,8.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
42,3294 PFAEFERS,1814,982,832,1697,918,779,117,64,53,936,6.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
43,3295 QUARTEN,2533,1270,1263,2093,1018,1075,440,252,188,826,17.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
44,3296 SARGANS,4267,2084,2183,3832,1819,2013,435,265,170,898,10.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
45,3297 VILTERS,3243,1783,1460,3077,1665,1412,166,118,48,949,5.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
46,3298 WALENSTADT,3605,1712,1893,3011,1382,1629,594,330,264,835,16.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
48,3311 AMDEN,1135,543,592,1088,521,567,47,22,25,959,4.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
49,3312 BENKEN (5G),1684,879,805,1636,852,784,48,27,21,971,2.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
50,3313 KALTBRUNN,2735,1470,1265,2417,1280,1137,318,190,128,884,11.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
51,3314 RIEDEN,460,226,234,440,216,224,20,10,10,957,4.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
52,3315 SCHAENIS,2426,1224,1202,2318,1159,1159,108,65,43,955,4.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
53,3316 WEESEN,1194,561,633,1103,517,586,91,44,47,924,7.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
55,3331 ERNETSCHWIL,721,377,344,716,373,343,5,4,1,993,,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
56,3332 ESCHENBACH (SG),3661,1858,1803,3258,1642,1616,403,216,187,890,11.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
57,3333 GOLDINGEN,870,485,385,849,468,381,21,17,4,976,2.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
58,3334 GOMMISWALD,1601,808,793,1486,743,743,115,65,50,928,7.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
0,3336 RAPPERSWIL (SG),7826,3779,4047,6679,3143,3536,1147,636,511,853,147.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
1,3337 ST.GALLENKAPPEL,1234,640,594,1182,609,573,52,31,21,958,42.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
2,3338 SCHMERIKON,2870,1421,1449,2326,1123,1203,544,298,246,810,190.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
3,3339 UZNACH,4269,2098,2171,3599,1727,1872,670,371,299,843,157.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
5,3351 ALT ST.JOHANN,1235,635,600,1205,615,590,30,20,10,976,24.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
6,3352 E0NAT—KAPPEL,4950,2383,2567,4323,2021,2302,627,362,265,873,127.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
7,3354 KRUMMENAU,1588,779,809,1401,678,723,187,101,86,882,118.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
8,3355 NESSLAU,1866,945,921,1823,923,900,43,22,21,977,23.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
9,3356 STEIN (TOGGENBURG),417,221,196,411,217,194,6,4,2,986,14.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
10,3357 WILDHAUS,1134,563,571,1088,532,556,46,31,15,959,41.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
12,3371 BRUNNADERN,683,323,360,629,292,337,54,31,23,921,79.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
13,3372 HEMBERG,869,471,398,850,461,389,19,10,9,978,22.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
14,3373 KRINAU,240,132,108,240,132,108,—,—,—,1000,,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
15,3374 LICHTENSTEIG,1998,974,1024,1603,770,833,395,204,191,802,198.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
16,3375 OBERHELFENSCHWIL,1044,553,491,971,510,461,73,43,30,930,70.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
17,3376 ST.PETERZELL,856,440,416,824,419,405,32,21,11,963,37.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
18,3377 WATTWIL,7874,3934,3940,6472,3122,3350,1402,812,590,822,178.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
20,3391 BUETSCHWIL,3423,1734,1689,2792,1358,1434,631,376,255,816,184.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
21,3392 KIRCHBERG (SG),6398,3287,3111,5578,2803,2775,820,484,336,872,128.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
22,3393 LUETISBURG,1210,643,567,1155,604,551,55,39,16,955,45.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
23,3394 MOSNANG,2280,1238,1042,2227,1201,1026,53,37,16,977,23.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
25,3401 DEGERSHEIM,3269,1602,1667,2790,1332,1458,479,270,209,853,147.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
26,3402 FLAWIL,8575,4246,4329,6902,3323,3579,1673,923,750,805,195.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
27,3403 GANTERSCHWIL,910,473,437,844,435,409,66,38,28,927,73.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
28,3405 JONSCHWIL,1955,998,957,1875,947,928,80,51,29,959,41.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
29,3406 MOGELSBERG,1809,925,884,1738,883,855,71,42,29,961,39.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
30,3407 OBERUZWIL,4616,2339,2277,4156,2064,2092,460,275,185,900,100.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
31,3408 UZWIL,9614,4844,4770,8425,4135,4290,1189,709,480,876,124.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
33,3421 BRONSCHHOFEN,3355,1752,1603,2941,1518,1423,414,234,180,877,123.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
34,3422 NIEDERBUEREN,1097,569,528,1051,540,511,46,29,17,958,42.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
35,3423 NIEDERHELFENSCHWIL,1676,893,783,1626,858,768,50,35,15,970,30.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
36,3424 OBERBUEREN,2880,1498,1382,2622,1349,1273,258,149,109,910,90.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
37,3425 WIL (SG),16245,7811,8434,13936,6482,7454,2309,1329,980,858,142.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
38,3426 ZUZWIL (SG),2076,1058,1018,1945,985,960,131,73,58,937,63.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
40,3441 ANDWIL (SG),1225,648,577,1191,623,568,34,25,9,972,28.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
41,3442 GAISERWALD,5051,2537,2514,4674,2290,2384,377,247,130,925,75.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
42,3443 GOSSAU (51),14584,7222,7362,13093,6338,6755,1491,884,607,898,102.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
43,3444 WALDKIRCH,2622,1371,1251,2537,1321,1216,85,50,35,968,32.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
44,3335 JDNA,12156,6065,6091,10313,5020,5293,1843,1045,798,848,152,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13,1
